<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
R38 = X:-71.84504, Y:114.72149999999998, T:-90.0, Val:1M 1%, Mod:R_0805_2012Metric
R39 = X:-18.383200000000016, Y:128.282, T:0.0, Val:1M 1%, Mod:R_0805_2012Metric
R40 = X:-74.00404000000002, Y:110.99, T:-90.0, Val:NM, Mod:R_0805_2012Metric
R41 = X:-10.094040000000025, Y:132.837, T:180.0, Val:1M 1%, Mod:R_0805_2012Metric
R42 = X:-70.95604000000002, Y:108.11449999999998, T:0.0, Val:750K, Mod:R_0805_2012Metric
R43 = X:-14.66604000000002, Y:132.837, T:180.0, Val:1K 1%, Mod:R_0805_2012Metric
R44 = X:-50.92700000000002, Y:91.6974, T:-90.0, Val:1M 1%, Mod:R_0805_2012Metric
R45 = X:-71.84504, Y:111.03849999999998, T:-90.0, Val:100K, Mod:R_0805_2012Metric
R46 = X:-54.059680000000014, Y:129.3825, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R49 = X:-67.40004, Y:101.51349999999998, T:0.0, Val:1K 1%, Mod:R_0805_2012Metric
R50 = X:-75.52264000000001, Y:94.68739999999998, T:-90.0, Val:1M 1%, Mod:R_0805_2012Metric
R51 = X:-60.66500000000001, Y:67.05999999999999, T:-90.0, Val:1M 1%, Mod:R_0805_2012Metric
R52 = X:-72.77264000000001, Y:93.7374, T:0.0, Val:1K 1%, Mod:R_0805_2012Metric
R53 = X:-60.66500000000001, Y:63.50399999999999, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R54 = X:-75.52264000000001, Y:98.4874, T:-90.0, Val:1M 1%, Mod:R_0805_2012Metric
R55 = X:-57.61700000000001, Y:65.536, T:0.0, Val:1M 1%, Mod:R_0805_2012Metric
R56 = X:-46.29200000000001, Y:60.443999999999996, T:0.0, Val:120K 1%, Mod:R_0805_2012Metric
R57 = X:-6.9779160000000005, Y:1.1686810000000052, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R58 = X:-6.977916000000002, Y:10.693681000000002, T:-90.0, Val:200R 1%, Mod:R_0805_2012Metric
R59 = X:-10.787915999999996, Y:1.1686810000000045, T:-90.0, Val:43K 1%, Mod:R_0805_2012Metric
R60 = X:-16.502916, Y:1.1686810000000034, T:90.0, Val:39.2K 1%, Mod:R_0805_2012Metric
R61 = X:-22.217915999999995, Y:-4.081364956968714e-15, T:180.0, Val:1M 1%, Mod:R_0805_2012Metric
R62 = X:-26.378, Y:3.8099999999999974, T:-90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R63 = X:-23.487916, Y:3.8099999999999983, T:90.0, Val:1M 1%, Mod:R_0805_2012Metric
R64 = X:-30.187999999999995, Y:2.7609999999999975, T:180.0, Val:3.4K 1%, Mod:R_0805_2012Metric
R65 = X:-23.931999999999995, Y:8.762999999999996, T:90.0, Val:12K 1%, Mod:R_0805_2012Metric
R66 = X:-21.772999999999996, Y:8.762999999999996, T:90.0, Val:30K 1%, Mod:R_0805_2012Metric
R67 = X:-26.378, Y:7.713999999999997, T:90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R68 = X:-19.868, Y:17.78, T:0.0, Val:2.8K 1%, Mod:R_0805_2012Metric
R69 = X:-26.378, Y:11.269999999999998, T:90.0, Val:1.43K, Mod:R_0805_2012Metric
R70 = X:-9.961999999999998, Y:11.328681000000001, T:0.0, Val:470K 1%, Mod:R_0805_2012Metric
R71 = X:-27.394, Y:14.317999999999996, T:180.0, Val:1.3K, Mod:R_0805_2012Metric
R72 = X:-31.298, Y:17.779999999999998, T:180.0, Val:1.43K, Mod:R_0805_2012Metric
R73 = X:-6.977916000000003, Y:14.503681000000004, T:90.0, Val:2.2M, Mod:R_0805_2012Metric
R74 = X:-12.057916000000002, Y:17.678681000000005, T:-90.0, Val:2.2M, Mod:R_0805_2012Metric
R75 = X:-9.961999999999998, Y:13.868681, T:0.0, Val:10K 1%, Mod:R_0805_2012Metric
R76 = X:-15.867915999999996, Y:12.598681, T:180.0, Val:270K 1%, Mod:R_0805_2012Metric
R77 = X:-6.977916000000006, Y:26.568681000000005, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R78 = X:-6.977916000000007, Y:36.093680000000006, T:-90.0, Val:200R 1%, Mod:R_0805_2012Metric
R79 = X:-10.787916000000001, Y:26.568681000000005, T:-90.0, Val:43K 1%, Mod:R_0805_2012Metric
R80 = X:-16.502916000000003, Y:26.568681, T:90.0, Val:39.2K 1%, Mod:R_0805_2012Metric
R81 = X:-22.217916, Y:25.399998999999998, T:180.0, Val:1M 1%, Mod:R_0805_2012Metric
R82 = X:-26.378000000000007, Y:29.209999, T:-90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R83 = X:-23.487916000000006, Y:29.209999, T:90.0, Val:1M 1%, Mod:R_0805_2012Metric
R84 = X:-30.188, Y:28.160999999999994, T:180.0, Val:3.4K 1%, Mod:R_0805_2012Metric
R85 = X:-23.932000000000002, Y:34.163000000000004, T:90.0, Val:12K 1%, Mod:R_0805_2012Metric
R86 = X:-21.773000000000003, Y:34.163000000000004, T:90.0, Val:30K 1%, Mod:R_0805_2012Metric
R87 = X:-26.378000000000007, Y:33.113999, T:90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R88 = X:-19.868000000000002, Y:43.179999, T:0.0, Val:2.8K 1%, Mod:R_0805_2012Metric
R89 = X:-26.378000000000007, Y:36.67, T:90.0, Val:1.43K, Mod:R_0805_2012Metric
R90 = X:-9.962000000000003, Y:36.728681, T:0.0, Val:470K 1%, Mod:R_0805_2012Metric
R91 = X:-27.394000000000005, Y:39.718, T:180.0, Val:1.3K, Mod:R_0805_2012Metric
R92 = X:-31.298000000000002, Y:43.179998999999995, T:180.0, Val:1.43K, Mod:R_0805_2012Metric
R93 = X:-7.7600000000000025, Y:22.900000000000006, T:180.0, Val:2.2M, Mod:R_0805_2012Metric
R94 = X:-12.057916000000006, Y:43.078681, T:-90.0, Val:2.2M, Mod:R_0805_2012Metric
R95 = X:-9.962000000000003, Y:39.268681, T:0.0, Val:10K 1%, Mod:R_0805_2012Metric
R96 = X:-15.867916000000001, Y:37.99868, T:180.0, Val:270K 1%, Mod:R_0805_2012Metric
R97 = X:-6.97791600000001, Y:51.968680000000006, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R98 = X:-6.977916000000011, Y:61.493680000000005, T:-90.0, Val:200R 1%, Mod:R_0805_2012Metric
R99 = X:-10.787916000000006, Y:51.968680000000006, T:-90.0, Val:43K 1%, Mod:R_0805_2012Metric
R100 = X:-16.50291600000001, Y:51.968680000000006, T:90.0, Val:39.2K 1%, Mod:R_0805_2012Metric
R101 = X:-22.217916000000006, Y:50.800000000000004, T:180.0, Val:1M 1%, Mod:R_0805_2012Metric
R102 = X:-26.37800000000001, Y:54.61, T:-90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R103 = X:-23.48791600000001, Y:54.61, T:90.0, Val:1M 1%, Mod:R_0805_2012Metric
R104 = X:-30.188000000000006, Y:53.560998999999995, T:180.0, Val:3.4K 1%, Mod:R_0805_2012Metric
R105 = X:-23.932000000000006, Y:59.563, T:90.0, Val:12K 1%, Mod:R_0805_2012Metric
R106 = X:-21.773000000000007, Y:59.563, T:90.0, Val:30K 1%, Mod:R_0805_2012Metric
R107 = X:-26.37800000000001, Y:58.514, T:90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R108 = X:-19.868000000000006, Y:68.58, T:0.0, Val:2.8K 1%, Mod:R_0805_2012Metric
R109 = X:-26.37800000000001, Y:62.069999, T:90.0, Val:1.43K, Mod:R_0805_2012Metric
R110 = X:-9.962000000000007, Y:62.128681, T:0.0, Val:470K 1%, Mod:R_0805_2012Metric
R111 = X:-27.39400000000001, Y:65.117999, T:180.0, Val:1.3K, Mod:R_0805_2012Metric
R112 = X:-31.298000000000005, Y:68.58, T:180.0, Val:1.43K, Mod:R_0805_2012Metric
R113 = X:-6.9850000000000065, Y:39.6852, T:90.0, Val:2.2M, Mod:R_0805_2012Metric
R114 = X:-12.057916000000011, Y:68.47868, T:-90.0, Val:2.2M, Mod:R_0805_2012Metric
R115 = X:-9.962000000000007, Y:64.668681, T:0.0, Val:10K 1%, Mod:R_0805_2012Metric
R116 = X:-15.867916000000005, Y:63.398681, T:180.0, Val:270K 1%, Mod:R_0805_2012Metric
R117 = X:-26.43400000000001, Y:78.595, T:-90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R118 = X:-10.97091600000001, Y:75.89268100000001, T:180.0, Val:470K 1%, Mod:R_0805_2012Metric
R119 = X:-10.97091600000001, Y:78.432681, T:180.0, Val:0R, Mod:R_0805_2012Metric
R120 = X:-30.244000000000007, Y:77.325, T:180.0, Val:3.4K 1%, Mod:R_0805_2012Metric
R121 = X:-26.43400000000001, Y:82.278, T:90.0, Val:3.09K 1%, Mod:R_0805_2012Metric
R122 = X:-17.06880000000001, Y:77.53120000000001, T:180.0, Val:0R, Mod:R_0805_2012Metric
R123 = X:-17.06880000000001, Y:75.4992, T:0.0, Val:470K 1%, Mod:R_0805_2012Metric
R124 = X:-26.43400000000001, Y:85.834, T:90.0, Val:1.43K, Mod:R_0805_2012Metric
